ID,Severity,Event Type,Event Description,Generation Time,Status,Event Code,Suggestion
"1908","Major","PSU","Server power failure occurred at 2026-04-20 02:56:18 UTC, The power has been already restored.","2026-04-20 02:59:19","Asserted","0x0300001F","Check the equipment room power supply."
"1907","Normal","System","The host was restarted due to unrecognized reason.","2026-04-20 02:59:11","Asserted","0x2C00000F",""
"1906","Normal","NIC","The NIC 1 is replaced from SN(1024B9848599) to SN(102559619918) (SN:102559619918).","2026-04-20 02:57:46","Asserted","0x0D000015",""
"1905","Normal","System","ACPI is in the working state.","2026-04-20 02:56:39","Asserted","0x2C000009",""
"1904","Normal","System","The host is restarted after being powered on (Power strategy is 'Turn On').","2026-04-20 02:56:37","Asserted","0x2C000017",""
"1903","Normal","BMC","openUBMC is restarted after AC power supply is restored.","2026-04-20 02:55:53","Asserted","0x1A00000D",""
"1902","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-20 02:20:43","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1901","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-20 02:19:50","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1900","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-20 02:18:13","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1899","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-20 02:17:53","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1898","Normal","System","The host was restarted due to unrecognized reason.","2026-04-20 02:17:48","Asserted","0x2C00000F",""
"1897","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-20 02:14:34","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1896","Normal","System","The host was restarted by command.","2026-04-20 02:13:53","Asserted","0x2C000011",""
"1895","Normal","System","ACPI is in the working state.","2026-04-20 02:13:51","Asserted","0x2C000009",""
"1894","Normal","System","ACPI is in the soft-off state.","2026-04-20 02:12:04","Asserted","0x2C00000B",""
"1893","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-20 02:12:02","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1892","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:11:43","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1891","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:10:53","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1890","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:09:12","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1889","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:08:52","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1888","Normal","System","The host was restarted due to unrecognized reason.","2026-04-17 10:08:48","Asserted","0x2C00000F",""
"1887","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:03:25","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1886","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:03:05","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1885","Normal","System","The host was restarted by command.","2026-04-17 10:02:58","Asserted","0x2C000011",""
"1884","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:01:11","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1883","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 10:00:18","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1882","Minor","Disk","The disk Disk3 state is abnormal (SN:034BBTN0Q3019379).","2026-04-17 09:59:17","Deasserted","0x02000028","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"1881","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:58:41","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1880","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:58:21","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1879","Minor","Disk","The disk Disk3 state is abnormal (SN:034BBTN0Q3019379).","2026-04-17 09:58:18","Asserted","0x02000027","1. If a hard disk failure alarm exists on the server, handle the problem by referring to the alarm message.2. Manually change the hard disk status.3. Replace the hard disk."
"1878","Normal","System","The host was restarted by command.","2026-04-17 09:58:13","Asserted","0x2C000011",""
"1877","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:53:35","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1876","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:52:42","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1875","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:51:08","Deasserted","0x29000002","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1874","Normal","Port","NIC 1 (SF221Q) Port 1 disconnected.","2026-04-17 09:50:48","Asserted","0x29000001","1. Remove and reconnect the network cable.2. Check whether the network cable is securely connected to the network switch.3. Check whether the network switch is working properly."
"1873","Normal","System","The host was restarted by command.","2026-04-17 09:50:41","Asserted","0x2C000011",""
