"用例编号","测试类别","优先级","用例名称","操作顺序","测试结果/判定标准","预计耗时","输出记录"
"PERF-001","性能","P0","8卡枚举与GPU ID确认","1. 执行 lspci -nn | grep -i 1e3e；2. 执行 ixsmi -L；3. 执行 ixsmi；4. 记录 GPU0-7、BDF、序列号、驱动状态","必须识别 8 张卡，GPU ID 为 0-7；无 GPU OFFLINE、掉卡、驱动初始化失败；lspci 设备数量与 ixsmi 一致","30 min","baseline/lspci_1e3e.txt; baseline/ixsmi_L.txt; baseline/ixsmi.txt"
"PERF-002","性能","P0","8卡BDF/槽位/NUMA映射确认","1. 记录 ixsmi -L 输出；2. 执行 dmidecode -t slot；3. 执行 lspci -tv；4. 整理 GPU ID-BDF-物理槽位-NUMA/CPU Root Port-Switch 映射表","8 张卡映射关系完整；无重复 BDF、未知槽位、未知 NUMA；后续性能异常能回溯到槽位和拓扑","1 h","baseline/gpu_slot_numa_mapping.csv; baseline/lspci_tree.txt"
"PERF-003","性能","P0","8卡PCIe Gen4 x16链路确认","1. 对 8 张卡 BDF 分别执行 lspci -s <BDF> -vvv；2. 检查 LnkCap/LnkSta；3. 记录 Speed、Width、AER 状态","8 张卡均应为 Speed 16GT/s、Width x16；若出现 Gen3/x8/x4，判为异常或必须说明硬件/BIOS原因；无 Fatal/AER 持续错误","1 h","baseline/lspci_gpu0_gpu7_vvv.txt"
"PERF-004","性能","P0","BIOS/拓扑性能阻塞项检查","1. 执行 ix-gpu-tuner -l；2. 执行 ix-gpu-tuner --topo vvv；3. 执行 ix-gpu-tuner --trace；4. 检查 IOMMU/ACS/ExtTag/VT-d/SR-IOV/Switch mode","无明显阻塞性能的配置项；IOMMU/ACS 等风险项需记录并给出处理建议；拓扑分组与 PERF-002 一致","1 h","performance/topo_vvv.txt; performance/trace.txt; performance/tuner_l.txt"
"PERF-005","性能","P0","8卡单卡H2D带宽一致性测试","进入 corex-toolbox bin 目录；对 GPU0-7 逐张执行 ./bandwidthTest --memory=pinned --mode=range --start=10485760 --end=104857600 --increment=10485760 --htod --device=<id>","8 张卡 H2D 均正常完成；同拓扑组内差异建议 <=5%，全卡差异建议 <=10%；无 dmesg PCIe/AER 错误","2 h","performance/h2d_gpu0_gpu7.log; performance/h2d_summary.csv"
"PERF-006","性能","P0","8卡单卡D2H带宽一致性测试","对 GPU0-7 逐张执行 ./bandwidthTest --memory=pinned --mode=range --start=10485760 --end=104857600 --increment=10485760 --dtoh --device=<id>","8 张卡 D2H 均正常完成；无明显离群卡；同拓扑组内差异建议 <=5%，全卡差异建议 <=10%；无 PCIe 错误","2 h","performance/d2h_gpu0_gpu7.log; performance/d2h_summary.csv"
"PERF-007","性能","P0","8卡单卡D2D显存带宽一致性测试","对 GPU0-7 逐张执行 ./bandwidthTest --memory=pinned --mode=range --start=10485760 --end=104857600 --increment=10485760 --dtod --device=<id>","8 张卡 D2D 均正常完成；无程序崩溃、无温度告警、无单卡明显低于同批卡","2 h","performance/d2d_gpu0_gpu7.log; performance/d2d_summary.csv"
"PERF-008","性能","P0","8卡单卡FP16 GEMM算力一致性测试","对 GPU0-7 逐张执行 ./gemm_perf --i <id> --d 1 --l 100；每张卡至少重复 3 轮，取平均值","8 张卡 FP16 GEMM 均正常完成；同拓扑组内差异建议 <=5%，全卡差异建议 <=10%；任一卡低值需关联槽位/温度/功耗/日志定位","3 h","performance/gemm_fp16_gpu0_gpu7.log; performance/gemm_fp16_summary.csv"
"PERF-009","性能","P1","8卡单卡BF16/INT8 GEMM算力一致性测试","对 GPU0-7 逐张执行 ./gemm_perf --i <id> --d 3 --l 100 和 ./gemm_perf --i <id> --d 2 --l 100；每种数据类型记录平均值","BF16/INT8 均可正常执行；无异常退出；8 卡性能无明显离群，离群卡需记录卡号、BDF和运行状态","4 h","performance/gemm_bf16_int8_gpu0_gpu7.log; performance/gemm_bf16_int8_summary.csv"
"PERF-010","性能","P0","8卡并发GEMM整机算力测试","1. 执行 ./gemm_perf --i -1 --d 1 --l 100 或同时拉起 GPU0-7 单卡任务；2. 后台运行 ixsmi dmon -d 5；3. 记录每张卡利用率、功耗、频率、温度","8 张卡同时满载且无掉卡；各卡利用率、功耗、频率稳定；无单卡异常降频或性能明显低于其他卡","1 h","performance/gemm_8gpu_fp16.log; logs/ixsmi_dmon_8gpu.csv"
"PERF-011","性能","P0","8卡满载功耗/频率/温度检查","1. 在 PERF-010 满载时每 5 秒采集 ixsmi dmon；2. 每 10 分钟采集 ixsmi -q -d TEMPERATURE/POWER/CLOCK/PERFORMANCE；3. 记录最高温、平均功耗、频率波动","8 卡温度不触发 95°C 告警/降频；无接近 105°C 保护点；功耗和频率曲线无异常尖峰、无单卡掉功耗","随满载同步","performance/power_clock_temp_8gpu.csv"
"PERF-012","性能","P0","8卡P2P全矩阵带宽测试","1. 执行 ./p2pBandwidthTest；2. 保存 8x8 连接矩阵、单向写、双向写结果；3. 按 PERF-002 拓扑分组分析 56 条方向性链路或 28 对非方向链路","8 卡 P2P 矩阵完整；无非预期 N/A 或通信失败；跨 CPU/跨 Switch 低值需标注为拓扑限制，异常低值需定位 BDF/槽位","2 h","performance/p2p_8gpu_matrix.log; performance/p2p_8gpu_summary.csv"
"PERF-013","性能","P0","2/4/8卡AllReduce通信扩展测试","1. 分别以 -np 2、-np 4、-np 8 执行 all_reduce_perf -b 8 -e 1G -f 2 -g 1；2. 记录 busbw/algbw；3. 8 卡场景至少重复 3 轮","2/4/8 卡均无 hang；8 卡 AllReduce 正常完成；带宽随消息大小增大后趋稳；8 卡结果无异常突降或通信错误","3 h","performance/all_reduce_2gpu_4gpu_8gpu.log; performance/all_reduce_summary.csv"
"PERF-014","性能","P1","容器内8卡可见性与性能冒烟","1. 启动 CoreX 容器；2. 容器内执行 ixsmi -L；3. 容器内执行 8 卡 GEMM 或 8 卡 all_reduce 小轮次；4. 宿主机同步采集 ixsmi dmon","容器内可见 GPU0-7 共 8 张卡；基础性能工具可运行；无 runtime/driver 映射错误；宿主机无驱动报错","2 h","performance/docker_8gpu_smoke.log"
"PERF-015","性能","P1","长稳前后性能衰减复测","1. 长稳前保存 H2D/D2H/GEMM/AllReduce 基线；2. 24h/48h/72h 长稳结束后复跑关键性能项；3. 对比前后差异","长稳后关键性能衰减建议 <=5%；若超过 5% 需关联温度、功耗、频率、ECC、日志和槽位定位","3 h","performance/before_after_compare.csv"
"STAB-001","稳定性","P0","8卡2小时短稳压测","1. 后台执行 ixsmi dmon -d 5 -f logs/ixsmi_dmon_2h.csv；2. 8 卡同时循环执行 FP16 GEMM；3. 每 30 分钟采集 ixsmi、ixsmi -q -d ECC、dmesg -T","2 小时无掉卡、无 GPU OFFLINE、无进程异常退出、无 Fatal/AER；8 张卡温度均低于 95°C 告警/降频点","2 h","stability/8gpu_short_2h.log; logs/ixsmi_dmon_2h.csv"
"STAB-002","稳定性","P0","8卡12小时GEMM长稳","1. 8 卡同时运行 FP16 GEMM 循环；2. 每 5 秒采集 ixsmi dmon；3. 每小时保存 ixsmi、ECC、dmesg 摘要；4. 记录任一卡异常时间点","12 小时无掉卡、无不可恢复错误、无温度保护、无 ECC 持续增长；8 卡利用率和功耗曲线稳定","12 h","stability/8gpu_gemm_12h.log; logs/ixsmi_dmon_12h.csv"
"STAB-003","稳定性","P0","8卡12小时混合负载稳定性","1. 8 卡 GEMM 循环作为主负载；2. 每 30 分钟插入 H2D/D2H/D2D；3. 每 1 小时插入 P2P 矩阵或 AllReduce 小轮次；4. 全程采集 ixsmi dmon","混合负载期间所有工具均可正常执行；无卡死、无驱动异常、无掉卡；插入 P2P/AllReduce 后主负载可继续运行","12 h","stability/8gpu_mixed_12h.log"
"STAB-004","稳定性","P0","8卡24小时满载稳定性","在 STAB-001/STAB-002 通过后执行 24 小时 8 卡满载 GEMM 或业务负载循环；每小时采集状态并保存日志","24 小时无掉卡、无 Fatal/AER、无温度保护、无 ECC 增长；性能波动可解释且无持续衰减","24 h","stability/8gpu_gemm_24h.log; logs/ixsmi_dmon_24h.csv"
